Sample	Baltimore_group	confidence	note	organism
Influenza_A_virus_A_California_07_2009_H1N1_1	V	high		Influenza A virus (A/California/07/2009(H1N1))
Influenza_A_virus_A_California_07_2009_H1N1_7	V	high		Influenza A virus (A/California/07/2009(H1N1))
Influenza_A_virus_A_California_07_2009_H1N1_8	V	high		Influenza A virus (A/California/07/2009(H1N1))
Influenza_A_virus_A_California_07_2009_H1N1_3	V	high		Influenza A virus (A/California/07/2009(H1N1))
Influenza_A_virus_A_California_07_2009_H1N1_4	V	high		Influenza A virus (A/California/07/2009(H1N1))
Influenza_A_virus_A_California_07_2009_H1N1_6	V	high		Influenza A virus (A/California/07/2009(H1N1))
Influenza_A_virus_A_California_07_2009_H1N1_2	V	high		Influenza A virus (A/California/07/2009(H1N1))
Influenza_A_virus_A_California_07_2009_H1N1_5	V	high		Influenza A virus (A/California/07/2009(H1N1))
Influenza_A_virus_A_Hong_Kong_1073_99_H9N2_3	V	high		Influenza A virus (A/Hong Kong/1073/99(H9N2))
Influenza_A_virus_A_Hong_Kong_1073_99_H9N2_1	V	high		Influenza A virus (A/Hong Kong/1073/99(H9N2))
Influenza_A_virus_A_Hong_Kong_1073_99_H9N2_2	V	high		Influenza A virus (A/Hong Kong/1073/99(H9N2))
Influenza_A_virus_A_Hong_Kong_1073_99_H9N2_6	V	high		Influenza A virus (A/Hong Kong/1073/99(H9N2))
Influenza_A_virus_A_Hong_Kong_1073_99_H9N2_5	V	high		Influenza A virus (A/Hong Kong/1073/99(H9N2))
Influenza_A_virus_A_Hong_Kong_1073_99_H9N2_8	V	high		Influenza A virus (A/Hong Kong/1073/99(H9N2))
Influenza_A_virus_A_Hong_Kong_1073_99_H9N2_7	V	high		Influenza A virus (A/Hong Kong/1073/99(H9N2))
Influenza_A_virus_A_Hong_Kong_1073_99_H9N2_4	V	high		Influenza A virus (A/Hong Kong/1073/99(H9N2))
Influenza_A_virus_A_Korea_426_1968_H2N2_2	V	high		Influenza A virus (A/Korea/426/1968(H2N2))
Influenza_A_virus_A_Korea_426_1968_H2N2_6	V	high		Influenza A virus (A/Korea/426/1968(H2N2))
Influenza_A_virus_A_Korea_426_1968_H2N2_3	V	high		Influenza A virus (A/Korea/426/1968(H2N2))
Influenza_A_virus_A_Korea_426_1968_H2N2_7	V	high		Influenza A virus (A/Korea/426/1968(H2N2))
Influenza_A_virus_A_Korea_426_1968_H2N2_5	V	high		Influenza A virus (A/Korea/426/1968(H2N2))
Influenza_A_virus_A_Korea_426_1968_H2N2_1	V	high		Influenza A virus (A/Korea/426/1968(H2N2))
