accession	tree_name	organism	isolate	strain	serotype	segment	Taxonomy_ID	tip_count
NC_001498.1	Measles_morbillivirus	Measles morbillivirus		Ichinose-B95a			3052345	1250
NC_002058.3	Enterovirus_C	Enterovirus C	Human poliovirus 1 Mahoney	Human poliovirus 1 Mahoney			3428505	2195
NC_043450.1	Severe_fever_with_thrombocytopenia_syndrome_virus_L	Severe fever with thrombocytopenia syndrome virus		HNXH		L	2748958	2472
NC_043451.1	Severe_fever_with_thrombocytopenia_syndrome_virus_M	Severe fever with thrombocytopenia syndrome virus		HNXH		M	2748958	2530
NC_043452.1	Severe_fever_with_thrombocytopenia_syndrome_virus_S	Severe fever with thrombocytopenia syndrome virus		HNXH		S	2748958	2128
NC_001430.1	Enterovirus_D	Enterovirus D	Enterovirus 70	Enterovirus 70			3428506	23
NC_038308.1	enterovirus_D68	enterovirus D68		Fermon			3428506	1856
NC_005831.2	Human_coronavirus_NL63	Human coronavirus NL63		Amsterdam I			3433809	353
NC_003461.1	Human_respirovirus_1	Human respirovirus 1		Washington 1964			3049952	336
NC_038811.1	Cardamom_bushy_dwarf_virus_DNA_U2	Cardamom bushy dwarf virus				DNA-U2	3426587	3
NC_024113.1	Mogiana_tick_virus_SY84_1	Mogiana tick virus	SY84			1	1172985	170
NC_024114.1	Mogiana_tick_virus_SY84_3	Mogiana tick virus	SY84			3	1172985	163
NC_024111.1	Mogiana_tick_virus_SY84_4	Mogiana tick virus	SY84			4	1172985	162
NC_024112.1	Mogiana_tick_virus_SY84_2	Mogiana tick virus	SY84			2	1172985	159
